"EOrd24633","TX, administrativeArea2, ocd-division/country:us/state:tx/county:kleberg, Kleberg County","No_Match"
"EOrd19287","NC, administrativeArea2, ocd-division/country:us/state:nc/county:yadkin, Yadkin County","No_Match"
"EOrd24634","TX, administrativeArea2, ocd-division/country:us/state:tx/county:cass, Cass County","No_Match"
"EOrd19284","NC, administrativeArea2, ocd-division/country:us/state:nc/county:jackson, Jackson County","No_Match"
"EOrd24639","TX, administrativeArea2, ocd-division/country:us/state:tx/county:san_jacinto, San Jacinto County","No_Match"
"EOrd19285","NC, administrativeArea2, ocd-division/country:us/state:nc/county:pasquotank, Pasquotank County","No_Match"
"EOrd19282","NC, administrativeArea2, ocd-division/country:us/state:nc/county:vance, Vance County","No_Match"
"EOrd9084","AL, administrativeArea2, ocd-division/country:us/state:al/county:franklin, Franklin County","No_Match"
"EOrd24637","TX, administrativeArea2, ocd-division/country:us/state:tx/county:uvalde, Uvalde County","No_Match"
"EOrd19283","NC, administrativeArea2, ocd-division/country:us/state:nc/county:davie, Davie County","No_Match"
"EOrd24638","TX, administrativeArea2, ocd-division/country:us/state:tx/county:grimes, Grimes County","No_Match"
"EOrd9086","AL, administrativeArea2, ocd-division/country:us/state:al/county:hale, Hale County","No_Match"
"EOrd9085","AL, administrativeArea2, ocd-division/country:us/state:al/county:marengo, Marengo County","No_Match"
"EOrd9088","AL, administrativeArea2, ocd-division/country:us/state:al/county:crenshaw, Crenshaw County","No_Match"
"EOrd9087","AL, administrativeArea2, ocd-division/country:us/state:al/county:cleburne, Cleburne County","No_Match"
"EOrd12653","IL, administrativeArea2, ocd-division/country:us/state:il/county:mcdonough, McDonough County","No_Match"
"EOrd12652","IL, administrativeArea2, ocd-division/country:us/state:il/county:randolph, Randolph County","No_Match"
"EOrd9089","AL, administrativeArea2, ocd-division/country:us/state:al/county:clay, Clay County","No_Match"
"EOrd12651","IL, administrativeArea2, ocd-division/country:us/state:il/county:monroe, Monroe County","No_Match"
"EOrd12650","IL, administrativeArea2, ocd-division/country:us/state:il/county:christian, Christian County","No_Match"
"EOrd12657","IL, administrativeArea2, ocd-division/country:us/state:il/county:saline, Saline County","No_Match"
"EOrd12656","IL, administrativeArea2, ocd-division/country:us/state:il/county:iroquois, Iroquois County","No_Match"
"EOrd12655","IL, administrativeArea2, ocd-division/country:us/state:il/county:montgomery, Montgomery County","No_Match"
"EOrd12654","IL, administrativeArea2, ocd-division/country:us/state:il/county:logan, Logan County","No_Match"
"EOrd12659","IL, administrativeArea2, ocd-division/country:us/state:il/county:jo_daviess, Jo Daviess County","No_Match"
"EOrd12658","IL, administrativeArea2, ocd-division/country:us/state:il/county:jersey, Jersey County","No_Match"
"EOrd19270","NC, administrativeArea2, ocd-division/country:us/state:nc/county:lenoir, Lenior County","No_Match"
"EOrd24620","TX, administrativeArea2, ocd-division/country:us/state:tx/county:kendall, Kendall County","No_Match"
"EOrd24621","TX, administrativeArea2, ocd-division/country:us/state:tx/county:brown, Brown County","No_Match"
"EOrd20266","NJ, administrativeArea2, ocd-division/country:us/state:nj/county:sussex, Sussex","No_Match"
"EOrd19277","NC, administrativeArea2, ocd-division/country:us/state:nc/county:hoke, Hoke County","No_Match"
"EOrd24624","TX, administrativeArea2, ocd-division/country:us/state:tx/county:howard, Howard County","No_Match"
"EOrd19278","NC, administrativeArea2, ocd-division/country:us/state:nc/county:beaufort, Beaufort County","No_Match"
"EOrd24625","TX, administrativeArea2, ocd-division/country:us/state:tx/county:hale, Hale County","No_Match"
"EOrd19275","NC, administrativeArea2, ocd-division/country:us/state:nc/county:halifax, Halifax County","No_Match"
"EOrd24622","TX, administrativeArea2, ocd-division/country:us/state:tx/county:chambers, Chambers County","No_Match"
"EOrd19276","NC, administrativeArea2, ocd-division/country:us/state:nc/county:watauga, Watagua County","No_Match"
"EOrd24623","TX, administrativeArea2, ocd-division/country:us/state:tx/county:matagorda, Matagorda County","No_Match"
"EOrd19273","NC, administrativeArea2, ocd-division/country:us/state:nc/county:edgecombe, Edgecombe County","No_Match"
"EOrd24628","TX, administrativeArea2, ocd-division/country:us/state:tx/county:hill, Hill County","No_Match"
"EOrd19274","NC, administrativeArea2, ocd-division/country:us/state:nc/county:pender, Pender County","No_Match"
"EOrd24629","TX, administrativeArea2, ocd-division/country:us/state:tx/county:washington, Washington County","No_Match"
"EOrd19271","NC, administrativeArea2, ocd-division/country:us/state:nc/county:granville, Granville County","No_Match"
"EOrd24626","TX, administrativeArea2, ocd-division/country:us/state:tx/county:jasper, Jasper County","No_Match"
"EOrd19272","NC, administrativeArea2, ocd-division/country:us/state:nc/county:columbus, Columbus County","No_Match"
"EOrd24627","TX, administrativeArea2, ocd-division/country:us/state:tx/county:hopkins, Hopkins County","No_Match"
